Component,Origin,License,Copyright
React,Facebook,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
React DOM,Facebook,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
Konva,Anton Lavrinov,BSD-3-Clause,"Copyright (c) 2011-2023 Anton Lavrinov"
React Konva,Anton Lavrinov,BSD-3-Clause,"Copyright (c) 2011-2023 Anton Lavrinov"
Axios,OpenJS Foundation,MIT,"Copyright (c) 2014-present Matt Zabriskie"
TypeScript,Microsoft,Apache-2.0,"Copyright (c) Microsoft Corporation"
Vite,Vite Team,MIT,"Copyright (c) 2019-present, Yuxi (Evan) You and Vite contributors"
ESLint,OpenJS Foundation,MIT,"Copyright (c) OpenJS Foundation and other contributors"
FastAPI,Sebastián Ramírez,MIT,"Copyright (c) 2018 Sebastián Ramírez"
Uvicorn,Encode OSS Ltd.,BSD-3-Clause,"Copyright (c) 2017-present Encode OSS Ltd."
Motor,MongoDB,Apache-2.0,"Copyright (c) 2015-present MongoDB, Inc."
HTTPX,Encode OSS Ltd.,BSD-3-Clause,"Copyright (c) 2019-present Encode OSS Ltd."
Gin,gin-gonic,MIT,"Copyright (c) 2014 Manuel Martínez-Almeida"
Gonum,Gonum Authors,BSD-3-Clause,"Copyright (c) 2013 The Gonum Authors"
Actix-web,Nikolay Kim,MIT,"Copyright (c) 2017 Nikolay Kim"
Actix-cors,Nikolay Kim,MIT,"Copyright (c) 2017 Nikolay Kim"
MongoDB Rust Driver,MongoDB,Apache-2.0,"Copyright (c) 2017-present MongoDB, Inc."
Tokio,Tokio Contributors,MIT,"Copyright (c) 2023 Tokio Contributors"
Reqwest,Sean McArthur,MIT,"Copyright (c) 2014-2021 Sean McArthur"
Serde,Erick Tryzelaar and David Tolnay,MIT,"Copyright (c) 2014-2021 Erick Tryzelaar and David Tolnay"
Rand,Rust Project Developers,MIT,"Copyright (c) 2018 The Rust Project Developers"
